location,location_type,area_m2,area_unit,frontage_exists,frontage_m,street_type,street_width_m,is_organized,type,has_water,has_electricity,has_swer,political_zone,date_of_sale,price_JOD,distance_from_center,distance_from_center_unit,distance_from_center_unknown,proximity_main_road_distance,proximity_main_road_unit,proximity_main_road_unknown,proximity_services_mosque,proximity_services_mosque_near_far,proximity_services_school,proximity_services_school_type,proximity_services_school_near_far,proximity_services_hospital,proximity_services_hospital_type,proximity_services_hospital_near_far,proximity_to_sea,terrain,earth_direction,ownership_registry,type_of_land,shape_of_land,number_of_facades,soil_type
Deir_Al_Ghusun,village,1.948,donum,لا أعلم,,,,False,,True,True,False,B,2024-06-25,35920.92,12.33,m,False,26.25,min,False,True,near,True,public,near,True,hospital,near,none,جبل,جنوب,تسجيل جديد,اميرية,مربعة,3,صخري
Kafr_Qasem,village,0.351,feddan,نعم,8,زفتة فرعي,6,False,,True,True,False,B,2025-09-01,96600.72,15.046,km,False,48.05,m,False,False,,True,private,far,True,hospital,near,far,سهل,شمال,مالية,ملك,مربعة,3,طمي
Nablus,city,0.7562,feddan,نعم,4,زفتة رئيسي,12,True,مكاتب,True,False,True,A,2024-11-19,79836.22,18.17,km,False,0,m,False,True,far,True,private,far,False,,,none,منحدر,غرب,تسجيل جديد,اميرية,شبه مستطيلة,4,صخري
As_Samu,village,0.5788,feddan,لا,,,,False,,False,True,False,B,2022-03-03,61044.67,,,True,,,True,False,,False,,,True,hospital,far,far,سهل,جنوب,طابو,اميرية,شكل غير منتظم,1,صخري
Hebron,city,0.1194,hectare,لا,,,,False,,True,True,False,C,2022-12-29,87748.72,21.295,m,False,37.19,km,False,False,,False,,,True,clinic,far,far,منحدر,شرق,طابو,ملك,مربعة,3,طمي
Nablus,city,0.8024,feddan,لا أعلم,,,,False,,False,False,False,B,2025-09-12,12446.92,14.07,km,False,,,True,True,far,True,public,near,False,,,far,منحدر,شرق,تسجيل جديد,ملك,موارس,3,رملي
Jericho,city,1.1369,feddan,نعم,23,زفتة رئيسي,5,True,مركز تجاري ب,False,False,False,A,2023-07-20,70309.89,22.501,m,False,0,m,False,True,far,False,,,False,,,far,سهل,شمال,مالية,ملك,مستطيلة,4,صخري
Anabta,village,0.1711,hectare,لا أعلم,,,,False,,False,False,True,C,2020-09-08,19742.97,19.245,km,False,13.54,km,False,True,near,False,,,False,,,far,منحدر,جنوب,طابو,ملك,موارس,0,طيني
Jenin,city,2101.0,sqm,لا,,,,False,,False,True,True,B,2021-12-15,8183.69,9.093,m,False,40.89,km,False,True,near,True,public,near,True,hospital,near,none,سهل,شرق,مالية,ملك,شكل غير منتظم,0,طيني
Salfit,city,1.0895,feddan,لا,,,,False,,False,True,False,C,2025-01-03,49103.12,,,True,,,True,False,,True,private,near,True,clinic,far,far,منحدر,غرب,طابو,ملك,شبه مربعة,1,طيني
Tulkarm,city,3579.0,sqm,نعم,6,زفتة فرعي,11,False,,True,False,False,C,2021-08-23,38293.51,,,True,25.61,min,False,False,,True,public,far,False,,,none,سهل,شمال,طابو,ملك,موارس,1,صخري
Ramallah,city,1777.0,sqm,لا,,,,False,,False,True,True,A,2021-11-11,73058.01,21.128,km,False,1.87,m,False,False,,False,,,True,clinic,far,far,منحدر,شمال,تسجيل جديد,ملك,موارس,2,رملي
Kafr_Qasem,village,487.0,sqm,لا أعلم,,,,False,,True,False,False,C,2022-11-16,67264.93,7.917,km,False,30.45,km,False,True,near,True,public,near,True,hospital,near,far,جبل,شرق,مالية,اميرية,مستطيلة,3,طيني
Salfit,city,0.2551,hectare,لا,,,,True,مركز تجاري ب,True,True,False,C,2024-05-17,10252.64,21.385,km,False,46.68,km,False,True,far,True,public,near,False,,,none,منحدر,شرق,تسجيل جديد,ملك,مربعة,4,رملي
Ain_Yabrud,village,0.3498,hectare,لا,,,,False,,False,True,False,A,2024-01-01,8462.05,3.693,m,False,47.79,m,False,True,near,True,public,near,True,hospital,far,far,منحدر,غرب,طابو,ملك,شبه مربعة,4,رملي
Beitunia,village,3516.0,sqm,نعم,25,زفتة رئيسي,12,True,سكن ب,True,True,False,C,2023-07-06,71890.75,5.409,km,False,0,m,False,True,far,True,private,far,True,hospital,far,none,جبل,جنوب,طابو,ملك,موارس,0,رملي
Ramallah,city,3439.0,sqm,لا أعلم,,,,True,سكن ب,True,True,True,B,2024-07-23,53151.35,10.743,km,False,,,True,True,far,False,,,True,hospital,near,far,جبل,شرق,تسجيل جديد,ملك,شبه مربعة,2,طيني
Qalqilya,city,0.7983,feddan,لا أعلم,,,,False,,False,False,False,B,2021-11-19,54896.84,,,True,,,True,True,far,False,,,True,hospital,far,none,جبل,جنوب,مالية,ملك,مربعة,3,رملي
Deir_Al_Ghusun,village,1983.0,sqm,لا,,,,True,سكن ج,True,False,True,C,2021-05-10,78481.11,,,True,49.95,m,False,False,,True,private,far,False,,,none,جبل,شرق,مالية,اميرية,شبه مربعة,1,صخري
As_Samu,village,0.9355,feddan,لا,,,,True,تجاري هامشي,False,False,False,A,2022-06-21,91073.63,27.582,m,False,10.08,km,False,True,far,False,,,False,,,none,سهل,جنوب,مالية,ملك,شبه مستطيلة,4,صخري
Al-Bireh,city,0.0195,hectare,نعم,9,زفتة فرعي,9,False,,True,False,False,B,2020-11-09,91514.79,,,True,,,True,False,,True,public,near,True,clinic,far,none,سهل,غرب,مالية,اميرية,مربعة,3,طيني
Qalqilya,city,1.1062,feddan,لا أعلم,,,,False,,False,False,False,C,2024-10-28,52765.34,28.568,m,False,,,True,False,,False,,,True,hospital,far,none,سهل,غرب,مالية,ملك,مستطيلة,3,رملي
Qalqilya,city,3.78,donum,نعم,7,ترابي,10,False,,False,False,False,C,2021-10-06,55692.48,27.641,km,False,,,True,False,,False,,,True,clinic,far,far,منحدر,غرب,تسجيل جديد,اميرية,شبه مربعة,4,رملي
Salfit_Village,village,4806.0,sqm,لا أعلم,,,,False,,True,False,False,B,2025-03-24,98042.72,10.811,m,False,,,True,False,,True,public,far,False,,,far,سهل,غرب,مالية,ملك,موارس,2,طمي
Salfit_Village,village,0.9824,feddan,لا,,,,True,سكن ب,True,False,True,A,2024-02-02,31398.21,8.671,m,False,,,True,True,far,False,,,False,,,none,جبل,غرب,تسجيل جديد,اميرية,شبه مربعة,1,رملي
Hebron,city,739.0,sqm,نعم,14,زفتة رئيسي,7,True,سكن ب,True,True,True,C,2022-10-16,3496.34,17.051,km,False,0,m,False,False,,True,public,far,False,,,far,سهل,شمال,مالية,ملك,شبه مستطيلة,2,رملي
Kafr_Qasem,village,0.2578,hectare,لا,,,,False,,False,False,False,B,2022-01-19,16884.87,,,True,,,True,False,,False,,,True,hospital,near,far,جبل,جنوب,طابو,اميرية,مربعة,4,صخري
Qalqilya,city,0.0852,feddan,لا أعلم,,,,True,منطقة صناعية,True,True,False,A,2021-12-10,18409.44,,,True,,,True,False,,False,,,False,,,far,منحدر,غرب,طابو,ملك,شبه مربعة,0,رملي
Ain_Yabrud,village,3862.0,sqm,لا,,,,False,,True,False,False,C,2022-05-07,81138.64,0.426,m,False,31.36,min,False,True,near,True,public,near,False,,,far,سهل,جنوب,تسجيل جديد,اميرية,شبه مستطيلة,0,صخري
Beitunia,village,0.0182,hectare,نعم,26,ترابي,8,True,سكن أ,True,True,True,A,2023-09-18,59004.56,6.371,m,False,47.37,m,False,False,,True,public,far,True,hospital,far,none,جبل,جنوب,مالية,اميرية,مستطيلة,2,صخري
Beitunia,village,0.0276,feddan,لا أعلم,,,,False,,False,False,True,C,2021-09-23,72350.46,22.391,m,False,2.45,km,False,False,,True,public,far,True,clinic,near,far,منحدر,جنوب,طابو,ملك,شبه مربعة,2,رملي
Hebron,city,0.2301,hectare,لا,,,,False,,True,True,False,B,2024-02-02,94354.31,16.708,m,False,,,True,True,near,True,private,near,True,clinic,far,far,جبل,شمال,مالية,اميرية,شبه مربعة,0,رملي
Qalqilya,city,0.3083,feddan,لا أعلم,,,,True,سكن أ,False,False,True,B,2022-04-02,50891.04,9.349,m,False,30.11,min,False,False,,True,public,near,False,,,far,سهل,غرب,مالية,ملك,شبه مستطيلة,2,طيني
Qalqilya,city,0.1317,feddan,نعم,29,زفتة فرعي,6,True,منطقة صناعية,False,False,True,C,2022-11-25,35838.29,,,True,7.42,km,False,True,far,False,,,True,hospital,far,none,جبل,غرب,تسجيل جديد,ملك,شكل غير منتظم,3,صخري
Jericho,city,1.0476,feddan,نعم,22,زفتة رئيسي,8,True,تجاري هامشي,False,False,False,B,2025-01-23,89317.26,,,True,0,m,False,False,,True,private,far,True,hospital,far,far,منحدر,غرب,طابو,اميرية,شبه مربعة,3,رملي
Salfit,city,0.363,donum,لا,,,,False,,True,False,True,A,2023-03-17,44766.94,,,True,,,True,True,far,True,private,near,False,,,far,سهل,شرق,تسجيل جديد,ملك,مربعة,1,طيني
Ain_Yabrud,village,490.0,sqm,لا أعلم,,,,False,,False,True,False,C,2025-06-18,15511.86,4.059,km,False,,,True,True,far,False,,,True,clinic,far,none,منحدر,شمال,تسجيل جديد,اميرية,مستطيلة,2,صخري
Beit_Ummar,village,0.5474,feddan,نعم,5,ترابي,12,False,,False,False,False,C,2025-09-09,79386.18,11.503,m,False,,,True,True,near,True,private,near,False,,,none,سهل,جنوب,طابو,ملك,مستطيلة,1,طمي
Nablus,city,4256.0,sqm,لا أعلم,,,,False,,False,True,True,B,2021-01-28,2801.45,18.86,m,False,,,True,False,,True,private,near,False,,,none,سهل,جنوب,تسجيل جديد,اميرية,شبه مستطيلة,3,رملي
Deir_Al_Ghusun,village,0.1179,hectare,نعم,23,زفتة فرعي,12,True,تجاري هامشي,True,False,True,B,2024-02-14,9629.63,7.834,m,False,15.77,km,False,True,far,True,public,far,False,,,far,منحدر,غرب,مالية,اميرية,مربعة,1,صخري
Qalqilya,city,0.0921,hectare,لا,,,,True,سكن أ,False,False,True,C,2021-06-17,16687.82,14.899,km,False,39.06,m,False,True,near,False,,,False,,,none,سهل,شرق,تسجيل جديد,اميرية,شبه مستطيلة,2,طمي
Deir_Al_Ghusun,village,2.256,donum,لا أعلم,,,,True,مكاتب,True,False,True,C,2021-08-10,60087.47,19.293,m,False,26.69,m,False,True,far,True,private,far,False,,,none,سهل,غرب,طابو,اميرية,شكل غير منتظم,1,طمي
Beit_Sahour,village,563.0,sqm,لا,,,,True,مركز تجاري ب,False,True,False,A,2024-07-26,12894.51,18.306,km,False,28.37,m,False,True,near,True,public,near,True,hospital,near,far,جبل,شمال,طابو,اميرية,مستطيلة,3,صخري
Anabta,village,0.1514,feddan,نعم,28,زفتة رئيسي,9,False,,False,True,False,A,2024-07-26,7248.07,0.991,km,False,0,m,False,True,far,False,,,True,hospital,far,far,منحدر,جنوب,مالية,اميرية,شكل غير منتظم,0,طمي
Qalqilya,city,999.0,sqm,لا,,,,False,,False,False,False,A,2021-10-15,66564.59,6.346,km,False,28.2,km,False,True,near,False,,,False,,,far,منحدر,غرب,طابو,ملك,شكل غير منتظم,1,طيني
Salfit_Village,village,0.0917,hectare,لا,,,,True,تجاري هامشي,True,True,False,C,2021-07-07,65725.66,9.336,m,False,,,True,False,,True,public,near,False,,,far,منحدر,شمال,مالية,ملك,شبه مربعة,2,صخري
Beit_Sahour,village,0.3325,hectare,لا,,,,True,سكن ج,True,False,True,B,2025-02-18,48472.44,10.702,m,False,,,True,False,,True,public,far,True,clinic,far,none,منحدر,جنوب,تسجيل جديد,ملك,شكل غير منتظم,0,طمي
Beit_Sahour,village,0.439,feddan,نعم,24,زفتة فرعي,12,False,,False,True,False,B,2022-08-12,79003.27,4.9,km,False,,,True,True,far,False,,,True,clinic,near,far,سهل,شمال,مالية,ملك,مربعة,3,رملي
Hebron,city,2.179,donum,لا أعلم,,,,False,,False,False,True,B,2022-02-24,11825.36,15.866,m,False,47.46,min,False,True,far,True,private,near,True,hospital,far,none,جبل,غرب,تسجيل جديد,اميرية,شبه مربعة,1,طمي
As_Samu,village,0.8064,feddan,لا,,,,False,,True,True,False,B,2024-07-21,27848.19,4.738,km,False,49.14,min,False,False,,True,private,near,False,,,far,منحدر,شمال,تسجيل جديد,ملك,موارس,3,طيني
Jenin,city,4.269,donum,لا أعلم,,,,False,,True,False,False,B,2023-01-24,67226.46,0.857,m,False,22.1,min,False,True,near,True,public,far,False,,,none,سهل,جنوب,مالية,اميرية,موارس,2,طيني
Jericho,city,0.4765,hectare,لا أعلم,,,,False,,True,False,True,C,2022-02-11,71764.29,13.405,km,False,25.91,min,False,False,,True,public,far,True,clinic,near,far,سهل,جنوب,مالية,ملك,مستطيلة,2,صخري
Jenin,city,0.0638,hectare,نعم,24,زفتة فرعي,12,True,منطقة صناعية,False,False,True,C,2022-09-23,46824.75,1.605,km,False,36.39,m,False,True,far,True,private,near,True,clinic,near,far,جبل,غرب,تسجيل جديد,ملك,مستطيلة,3,طمي
Ramallah,city,2685.0,sqm,نعم,21,زفتة فرعي,6,True,سكن أ,True,True,True,A,2024-03-19,81492.66,,,True,41.08,m,False,False,,True,public,near,True,hospital,far,far,منحدر,جنوب,طابو,ملك,مستطيلة,0,طمي
Hebron,city,2523.0,sqm,لا أعلم,,,,True,سكن ب,False,False,False,C,2021-05-14,91967.16,2.604,m,False,,,True,False,,True,private,near,True,hospital,near,none,منحدر,شرق,تسجيل جديد,ملك,مستطيلة,3,رملي
Jenin,city,0.5131,feddan,نعم,21,ترابي,7,True,مركز تجاري ب,False,True,True,C,2021-05-27,40835.84,,,True,,,True,True,far,False,,,False,,,far,منحدر,شرق,طابو,ملك,شكل غير منتظم,3,صخري
Tulkarm,city,0.2888,hectare,نعم,3,زفتة رئيسي,3,True,سكن ب,True,False,False,C,2021-12-03,16567.24,27.425,km,False,0,m,False,False,,True,public,far,False,,,far,منحدر,شرق,مالية,اميرية,مستطيلة,0,طيني
Jenin,city,2485.0,sqm,لا,,,,True,تجاري هامشي,False,True,True,A,2022-03-02,33453.47,25.464,km,False,,,True,False,,False,,,False,,,none,سهل,شرق,مالية,ملك,مستطيلة,2,صخري
Salfit,city,3342.0,sqm,لا,,,,True,سكن أ,True,True,True,C,2021-07-06,94208.54,,,True,,,True,True,far,True,public,far,True,clinic,far,far,جبل,جنوب,طابو,ملك,شبه مربعة,0,طمي
Salfit,city,0.4069,hectare,لا أعلم,,,,True,مركز تجاري ب,False,False,True,A,2022-04-24,87703.67,11.036,km,False,,,True,True,far,False,,,False,,,none,جبل,جنوب,مالية,اميرية,شبه مربعة,3,طمي
Beit_Sahour,village,0.3484,hectare,نعم,25,زفتة فرعي,5,False,,True,True,True,C,2024-04-25,69254.17,21.443,m,False,21.09,m,False,False,,False,,,True,clinic,far,far,منحدر,شرق,مالية,اميرية,شبه مربعة,3,رملي
Jenin,city,0.525,donum,لا أعلم,,,,True,سكن أ,True,False,False,C,2022-05-01,89304.7,19.279,m,False,7.88,km,False,True,near,False,,,True,hospital,far,far,جبل,شرق,طابو,ملك,مربعة,1,صخري
Salfit,city,1.182,donum,نعم,9,زفتة فرعي,6,False,,False,True,True,B,2023-05-10,90900.32,,,True,41.14,km,False,False,,True,public,near,False,,,none,سهل,شمال,طابو,اميرية,موارس,4,صخري
Salfit_Village,village,3.884,donum,لا,,,,False,,True,True,True,A,2024-06-01,33242.3,21.881,m,False,13.1,min,False,False,,False,,,False,,,none,جبل,شمال,تسجيل جديد,اميرية,مربعة,2,طيني
Ain_Yabrud,village,661.0,sqm,نعم,6,ترابي,11,True,تجاري هامشي,False,True,False,B,2024-08-22,23684.25,,,True,,,True,True,near,True,private,near,False,,,none,منحدر,شمال,تسجيل جديد,اميرية,شبه مربعة,4,طمي
Hebron,city,0.39,hectare,لا,,,,True,سكن ج,False,False,False,C,2020-09-11,53073.96,,,True,45.86,min,False,False,,True,private,far,False,,,far,جبل,شمال,طابو,ملك,مربعة,1,طمي
Jenin,city,1.1464,feddan,لا أعلم,,,,True,منطقة صناعية,False,False,True,C,2023-04-16,28731.66,,,True,16.72,km,False,True,near,True,public,far,True,clinic,near,far,سهل,شرق,طابو,ملك,مستطيلة,1,رملي
Al-Bireh,city,0.2359,hectare,لا,,,,True,سكن ب,True,True,False,A,2022-06-17,86374.24,,,True,47.62,km,False,False,,True,public,far,True,hospital,near,none,منحدر,جنوب,تسجيل جديد,ملك,مربعة,0,طيني
Nablus,city,0.685,feddan,لا أعلم,,,,True,منطقة صناعية,False,False,True,C,2023-07-05,83761.28,20.9,km,False,20.05,km,False,True,far,True,private,near,False,,,far,منحدر,شمال,تسجيل جديد,اميرية,مربعة,1,طيني
Beitunia,village,0.995,feddan,لا أعلم,,,,False,,False,True,True,B,2023-02-09,68577.08,15.509,m,False,35.42,km,False,True,far,True,public,near,True,clinic,near,none,منحدر,شرق,تسجيل جديد,ملك,شكل غير منتظم,3,صخري
Jenin,city,0.2607,hectare,لا,,,,True,سكن أ,True,True,True,A,2022-04-14,56192.2,25.323,m,False,23.97,m,False,True,far,False,,,False,,,none,جبل,غرب,تسجيل جديد,ملك,شكل غير منتظم,0,طيني
Al-Bireh,city,0.1851,hectare,لا,,,,True,منطقة صناعية,False,False,False,B,2025-05-03,13685.08,17.822,km,False,9.5,m,False,False,,True,private,far,True,clinic,far,none,سهل,جنوب,تسجيل جديد,اميرية,شكل غير منتظم,3,طمي
Anabta,village,3180.0,sqm,لا,,,,True,سكن ج,False,True,False,C,2025-09-04,81934.41,22.975,km,False,24.2,m,False,False,,False,,,True,clinic,far,far,منحدر,شرق,مالية,ملك,مستطيلة,0,صخري
Beit_Ummar,village,4661.0,sqm,لا,,,,True,منطقة صناعية,True,False,True,A,2024-05-04,69767.41,,,True,0.26,km,False,False,,False,,,False,,,far,جبل,جنوب,مالية,اميرية,موارس,3,طمي
Jericho,city,0.0257,feddan,نعم,23,زفتة رئيسي,12,False,,False,True,False,A,2022-06-28,95377.75,,,True,0,m,False,False,,True,private,near,False,,,none,منحدر,جنوب,مالية,ملك,شكل غير منتظم,1,رملي
Al-Bireh,city,3.544,donum,لا,,,,True,مكاتب,False,True,True,A,2021-12-04,66516.75,1.463,m,False,6.61,m,False,True,far,False,,,True,hospital,near,none,جبل,شمال,مالية,ملك,موارس,0,صخري
Kafr_Qasem,village,1.375,donum,لا أعلم,,,,False,,False,False,True,B,2023-11-04,23975.48,,,True,,,True,False,,True,private,far,False,,,none,جبل,شرق,مالية,اميرية,شبه مربعة,3,صخري
Al-Bireh,city,0.6617,feddan,نعم,8,ترابي,3,True,مكاتب,True,True,False,C,2021-05-19,81518.91,22.561,m,False,2.98,m,False,False,,False,,,True,clinic,far,none,جبل,شمال,طابو,اميرية,مربعة,4,رملي
Beit_Ummar,village,0.0966,hectare,نعم,10,زفتة رئيسي,8,True,سكن ب,True,False,False,C,2022-05-16,77448.99,21.957,m,False,0,m,False,True,far,True,private,near,False,,,none,سهل,شمال,تسجيل جديد,ملك,شبه مربعة,4,صخري
Jenin,city,4.177,donum,نعم,28,زفتة رئيسي,5,False,,False,True,False,B,2020-08-18,77396.01,7.048,m,False,0,m,False,False,,False,,,True,hospital,near,none,جبل,شرق,طابو,ملك,مستطيلة,3,طيني
As_Samu,village,3066.0,sqm,لا أعلم,,,,True,سكن ب,True,True,False,B,2022-01-06,98019.36,20.325,m,False,,,True,True,near,False,,,True,clinic,near,far,منحدر,جنوب,مالية,اميرية,شبه مستطيلة,0,طيني
Anabta,village,0.0651,hectare,لا,,,,False,,False,False,True,C,2021-02-05,34954.55,,,True,35.88,km,False,True,near,True,public,near,False,,,none,منحدر,جنوب,طابو,اميرية,شبه مربعة,1,صخري
Beit_Ummar,village,4.74,donum,لا,,,,True,مكاتب,True,False,True,A,2023-03-17,15080.97,,,True,7.23,m,False,False,,False,,,False,,,none,منحدر,جنوب,مالية,ملك,مربعة,4,رملي
Tulkarm,city,0.7783,feddan,لا أعلم,,,,False,,False,False,True,C,2020-08-04,58329.7,23.213,km,False,0.22,min,False,False,,True,public,near,True,hospital,near,far,سهل,جنوب,تسجيل جديد,اميرية,شبه مربعة,4,طيني
Al-Bireh,city,1.242,donum,نعم,12,زفتة رئيسي,4,False,,True,False,False,B,2021-12-06,13280.37,,,True,0,m,False,True,near,False,,,True,clinic,far,far,منحدر,غرب,طابو,اميرية,موارس,3,طمي
Nablus,city,991.0,sqm,لا أعلم,,,,True,منطقة صناعية,False,False,True,A,2022-03-03,47855.09,12.711,m,False,7.71,m,False,False,,True,private,far,True,hospital,near,far,جبل,شمال,مالية,ملك,شبه مستطيلة,1,طيني
Jericho,city,540.0,sqm,لا أعلم,,,,True,منطقة صناعية,False,True,False,C,2024-04-19,98422.5,22.412,m,False,29.86,km,False,False,,True,private,near,False,,,far,سهل,شمال,مالية,ملك,شكل غير منتظم,3,رملي
Bethlehem,city,3014.0,sqm,نعم,5,زفتة رئيسي,6,False,,True,True,True,C,2022-11-19,18728.54,12.171,km,False,0,m,False,False,,False,,,True,clinic,near,far,سهل,جنوب,مالية,اميرية,موارس,0,طمي
Salfit,city,0.9705,feddan,لا,,,,True,منطقة صناعية,True,False,False,C,2022-07-29,24654.5,,,True,,,True,False,,True,private,far,False,,,none,منحدر,جنوب,تسجيل جديد,ملك,مربعة,3,طمي
Kafr_Qasem,village,461.0,sqm,لا,,,,False,,False,False,True,C,2025-02-24,86315.01,22.344,km,False,43.06,m,False,True,near,True,public,near,False,,,far,سهل,شمال,تسجيل جديد,اميرية,شكل غير منتظم,0,طيني
Hebron,city,0.1935,hectare,لا أعلم,,,,True,تجاري هامشي,True,True,False,B,2022-08-11,24445.65,,,True,33.54,m,False,False,,False,,,True,hospital,near,none,سهل,شمال,تسجيل جديد,ملك,مربعة,4,صخري
Jericho,city,0.804,donum,نعم,19,ترابي,12,False,,False,True,False,C,2020-11-17,79396.83,,,True,,,True,False,,True,public,far,True,clinic,near,far,جبل,غرب,مالية,ملك,شبه مربعة,4,طمي
Al-Bireh,city,1870.0,sqm,لا,,,,False,,False,True,False,A,2020-10-21,49438.16,8.516,km,False,29.25,m,False,False,,True,public,near,True,clinic,near,far,سهل,جنوب,طابو,اميرية,شبه مستطيلة,1,طيني
Beit_Sahour,village,3.018,donum,لا,,,,True,منطقة صناعية,False,True,True,A,2020-05-11,53107.83,,,True,21.48,m,False,False,,False,,,False,,,none,جبل,شمال,مالية,اميرية,شكل غير منتظم,1,طمي
Tulkarm,city,3.052,donum,لا أعلم,,,,False,,True,False,False,A,2022-08-05,13737.01,22.471,km,False,18.03,min,False,False,,False,,,False,,,none,منحدر,شرق,طابو,اميرية,شكل غير منتظم,4,صخري
Bethlehem,city,2.086,donum,لا أعلم,,,,True,منطقة صناعية,True,False,False,C,2023-02-28,94592.11,8.894,km,False,12.48,min,False,True,far,False,,,False,,,far,سهل,شمال,مالية,ملك,مستطيلة,1,صخري
Qalqilya,city,427.0,sqm,لا,,,,False,,True,False,False,B,2020-11-17,82364.28,,,True,28.89,m,False,False,,True,public,near,True,clinic,near,far,سهل,غرب,تسجيل جديد,اميرية,شبه مربعة,0,صخري
Tulkarm,city,0.4,hectare,لا أعلم,,,,True,تجاري هامشي,False,True,True,A,2024-05-16,97032.29,,,True,,,True,True,near,False,,,True,hospital,far,none,منحدر,غرب,مالية,ملك,شبه مربعة,2,رملي
Nablus,city,0.8438,feddan,لا أعلم,,,,True,سكن ب,True,True,False,C,2021-02-18,90952.53,2.879,m,False,,,True,True,far,True,private,near,True,clinic,near,far,جبل,جنوب,تسجيل جديد,ملك,موارس,4,صخري
Nablus,city,2785.0,sqm,لا,,,,False,,False,False,True,A,2025-08-01,59298.36,3.623,km,False,,,True,False,,True,public,far,False,,,none,سهل,شمال,طابو,اميرية,شكل غير منتظم,4,رملي
